DocNumber;ProductDesignation
0110000472018;MINERAL WATER 1.5LT
0110000472018;LEVANDA ROSE
0110000472018;MINERAL WATER 1.5LT
0110000472018;SAMOSA
0110000472018;TOFFEE BANANA ICECREAM
0110000472018;TOFFEE BANANA ICECREAM
0110000472018;ICE CREAM
0110000472018;ICE CREAM
0110000472018;LYCHEES
0110000472018;CARROT HALWA
0110000482018;SESAME PRAWNS
0110000482018;SPRING ROLL
0110000482018;FOOD
0110000482018;BBQ SPARE RIBS
0110000482018;SALT PEPPER SQUID
0110000482018;1/2 DUCK
0110000482018;BEEF BBS
0110000482018;SWEET SOUR CHICKEN
0110000482018;PRAWNS OYSTER SAUCE
0110000482018;NOODLES WITH MEAT
0110000482018; NO MEAT
0110000482018;EGG FRIED RICE
0110000482018;MINERAL WATER 1.5LT
0110000482018;COKE ZERO
0110000482018;CHICKEN WITH MUSHROOMS
0110000482018;COKE ZERO
0110000482018;GLASS WHITE WINE
0110000482018;MINERAL WATER 1.5LT
0110000482018;SALT PEPPER SQUID
0110000482018;TOFFEE BANANA ICECREAM
0110000482018;COKE ZERO
0110000482018;MINERAL WATER 1.5LT
0110000482018;COKE ZERO
0110000482018;TOFFEE APPLE ICECREAM
0110000492018;1/2 DUCK
0110000492018;NOODLES BEAN SPROUTS
0110000492018;EGG FRIED RICE
0110000492018;SWEET SOUR CHICKEN
0110000492018;BEEF OYSTER SAUCE
0110000492018;CHICKEN SATAY
0110000492018;CHICKEN CASHEW NUTS
0110000502018;BUTTER CHICKEN
0110000502018;CHICK TIKKA MASALA
0110000502018;JIRA PULAO
0110000502018;NAAN
0110000502018;MINERAL WATER 1.5LT
0110000512018;SPRING ROLL
0110000512018;SALT PEPPER PRAWNS
0110000512018;SALT PEPPER SQUID
0110000512018;1/4 DUCK
0110000512018;SWEET SOUR CHICKEN
0110000512018;VEG RICE
0110000512018;FRIED SHREDDED BEEF
0110000512018;CHICKEN WITH GINGER
0110000512018;PETRITIS KYPEROUNDA
0110000512018;COKE ZERO
0110000512018;COKE
