DocNumber;ProductDesignation
0110001632018;BUFFET SUSHI
0110001632018;BIBLIA CHORA ROSE
0110001632018;MINERAL WATER 1.5LT
0110001642018;BUFFET SUSHI
0110001642018;BOUTARI MOSCHOFILERO WHITE
0110001642018;MINERAL WATER 1.5LT
0110001652018;BUFFET SUSHI
0110001652018;GLASS WHITE WINE
0110001652018;MINERAL WATER 1.5LT
0110001662018;BUFFET SUSHI
0110001662018;MINERAL WATER 1.5LT
0110001662018;CARLSBERG 33CL
0110001662018;BOUTARI MOSCHOFILERO WHITE
0110001662018;WHISKY 37.5CL
0110001662018;CARLSBERG 33CL
0110001662018;CARLSBERG 33CL
0110001662018;TOFFEE BANANA COMPLEMENTARY
0110001662018;MINERAL WATER 1.5LT
0110001672018;ONION BADJI
0110001672018;SAMOSA
0110001672018;SAMOSA
0110001672018;PALAK PANEER
0110001672018;JIRA PULAO
0110001672018;NAAN
0110001682018;BUFFET SUSHI
0110001682018;MINERAL WATER 1.5LT
0110001692018;BUFFET SUSHI
0110001692018;CARLSBERG 33CL
0110001692018;MINERAL WATER 1.5LT
0110001702018;TOFFEE BANANA COMPLEMENTARY
0110001712018;CARLSBERG 33CL
0110001712018;DIET COKE
0110001712018;DIET COKE
0110001712018;COKE
0110001712018;SAMOSA
0110001712018;ONION BADJI
0110001712018;BUTTER CHICKEN
0110001712018;YELLOW DAL DHABA
0110001712018;PALAK PANEER
0110001712018;LAMB ROGAN JOSH
0110001712018;JIRA PULAO
0110001712018;NAAN
0110001712018;NAAN
0110001712018;MINERAL WATER 1.5LT
0110001712018;DIET COKE
0110001712018;COKE
0110001712018;CARLSBERG 33CL
0110001722018;1/6 DUCK
0110001722018;PERRIER
0110001722018;PRAWNS OYSTER SAUCE
0110001722018;CHICKEN MIXED VEGETABLES
0110001722018;SPECIAL MONTPARNASSE RICE
0110001722018;MINERAL WATER 1.5LT
0110001732018;CHICKEN TIKKA
0110001732018;SPECIAL MONTPARNASSE RICE
0110001732018;NAAN
0110001732018;VELOUDO RED
0110001742018;SPRING ROLL
0110001742018;SESAME PRAWNS
0110001742018;1/2 DUCK
0110001742018;SWEET SOUR CHICKEN
0110001742018;CHICKEN CASHEW NUTS
0110001742018;CHICKEN GREEN PEPPERS
0110001742018; WITH BEEF
0110001742018;EGG FRIED RICE
0110001742018;NOODLES BEAN SPROUTS
0110001742018;CHICK TIKKA MASALA
0110001742018;JIRA PULAO
0110001742018;NAAN
0110001742018;MINERAL WATER 1.5LT
0110001752018;1/4 DUCK
0110001752018;EBI SUSHI
0110001752018;SALMON SUSHI
0110001752018;SWEET SOUR PORK
0110001752018;NOODLES WITH MEAT
0110001752018;SPECIAL MONTPARNASSE RICE
0110001752018;MINERAL WATER 1.5LT
0110001752018;COKE ZERO
0110001752018;KEO
0110001752018;KEO
0110001762018;SALT PEPPER PRAWNS
0110001762018;CHICKEN WITH GINGER
0110001762018;ALOO BAINGAN
0110001762018;KADHAI BHINDI
0110001762018;LAMB ROGAN JOSH
0110001762018;CHICKEN VINDALOO
0110001762018;JIRA PULAO
0110001762018;NAAN
0110001762018;PERRIER
0110001762018;MINERAL WATER 1.5LT
0110001762018;CHICK KORMA KASHMIRI
0110001762018;MINERAL WATER 1.5LT
0110001772018;HOT AND SOUR SOUP
0110001772018;SPRING ROLL
0110001772018;SESAME PRAWNS
0110001772018;1/6 DUCK
0110001772018;SWEET SOUR CHICKEN
0110001772018;BABY PORK
0110001772018;FOOD
0110001772018;NOODLES WITH MEAT
0110001772018; NO MEAT
0110001772018;EGG FRIED RICE
0110001772018;MINERAL WATER 1.5LT
0110001772018;AYIOS ANDRONIKOS XYNISTERI
0110001782018;SPRING ROLL
0110001782018;SWEET SOUR PORK
0110001782018;CHICKEN MIXED VEGETABLES
0110001782018; WITH CHICKEN
0110001782018;SHRIMP FRIED RICE
0110001782018;MINERAL WATER 1.5LT
0110001782018;GLASS RED WINE
0110001792018;MINERAL WATER 1.5LT
0110001792018;SPRING ROLL
0110001792018;CHICKEN SATAY
0110001792018;MIXED PLATTER SUSHI
0110001792018;SWEET SOUR CHICKEN
0110001792018;LEMON CHICKEN
0110001792018;BEEF PEPPER SAUCE
0110001792018;CHICKEN BBS
0110001792018;EGG FRIED RICE
0110001792018;CHICK TIKKA MASALA
0110001792018;MALAI MANGO CHICK
0110001792018;JIRA PULAO
0110001792018;NAAN
0110001792018;COMMANDARIA 5CL
0110001792018;KEO
0110001792018;KEO
0110001802018;CHICK TIKKA MASALA
0110001802018;MALAI MANGO CHICK
0110001802018;JIRA PULAO
0110001802018;NAAN
0110001802018;MINERAL WATER 1.5LT
0110001802018;KADHAI BHINDI
0110001802018;GLASS WHITE WINE
0110001802018;DRY FRUIT SAFFRON
0110001812018;SALT PEPPER SQUID
0110001812018;BEEF BBS
0110001812018;EGG FRIED RICE
0110001812018;PERRIER
0110001822018;MINERAL WATER 1.5LT
0110001822018;ONION BADJI
0110001822018;CHICK TIKKA MASALA
0110001822018;CHICK KORMA KASHMIRI
0110001822018;JIRA PULAO
0110001822018;NAAN
0110001822018;GLASS WINE ROSE
0110001822018;TOFFEE BANANA COMPLEMENTARY
0110001832018;MINERAL WATER 1.5LT
0110001832018;SWEET SOUR CHICKEN
0110001832018;BEEF OYSTER SAUCE
0110001832018;PRAWNS WITH GINGER
0110001832018;STEAMED RICE
0110001842018;SESAME PRAWNS
0110001842018;LEMON CHICKEN
0110001842018;SWEET SOUR CHICKEN
0110001842018;BEEF BBS
0110001842018;TIN JIAN STYLE CHICKEN
0110001842018;EGG FRIED RICE
0110001842018;MINERAL WATER 1.5LT
0110001842018;PERSEFONI KOLIOS WHITE
0110001842018;EGG FRIED RICE
0110001842018;TOFFEE BANANA COMPLEMENTARY
0110001852018;SPRING ROLL
0110001852018;BEEF PEPPER SAUCE
0110001852018;BEEF BBS
0110001852018;BUTTER CHICKEN
0110001852018;PORK OYSTER SAUCE
0110001852018;STEAMED RICE
0110001852018;NOODLES BEAN SPROUTS
0110001852018;MINERAL WATER 1.5LT
0110001852018;GLASS WHITE WINE
0110001852018;KEO
0110001852018;TOFFEE BANANA COMPLEMENTARY
0110001862018;SESAME PRAWNS
0110001862018;SWEET SOUR CHICKEN
0110001862018;MALAI MANGO CHICK
0110001862018;STEAMED RICE
0110001862018;PESHWARI NAAN
0110001862018;CARLSBERG 33CL
0110001862018;GLASS WINE ROSE
0110001862018;CARLSBERG 33CL
0110001862018;MINERAL WATER 1.5LT
0110001872018;SESAME PRAWNS
0110001872018;CHICKEN CASHEW NUTS
0110001872018;SWEET SOUR CHICKEN
0110001872018;EGG FRIED RICE
0110001872018;MINERAL WATER 1.5LT
0110001872018;COKE ZERO
0110001882018;SPRING ROLL
0110001882018;1/4 DUCK
0110001882018;EGG FRIED RICE
0110001882018;NOODLES WITH MEAT
0110001882018;BEEF OYSTER SAUCE
0110001882018;CHICK TIKKA MASALA
0110001882018;NAAN
0110001882018;GLASS WINE ROSE
0110001882018;GLASS RED WINE
0110001882018;MINERAL WATER 1.5LT
0110001882018;DIET SPRITE
0110001882018;COKE ZERO
0110001882018;MINERAL WATER 1.5LT
0110001892018;CROUCHING TIGER
0110001892018;CHICKEN MIXED VEGETABLES
0110001892018;BEEF BBS
0110001892018;EGG FRIED RICE
0110001892018;COKE
0110001892018;COKE ZERO
0110001892018;COKE ZERO
0110001902018;SPICY SALMON MAKI
0110001902018;TIN JIAN STYLE CHICKEN
0110001902018;CHICKEN CASHEW NUTS
0110001902018;VEG RICE
0110001902018;MINERAL WATER 1.5LT
0110001902018;GLASS RED WINE
0110001912018;TEMPURA MAKI
0110001912018;SWEET SOUR CHICKEN
0110001912018;BABY PORK
0110001912018;SPECIAL MONTPARNASSE RICE
0110001912018;MINERAL WATER 1.5LT
0110001912018;ROSE KYPEROUNDAS
0110001922018;SPRING ROLL
0110001922018;SESAME PRAWNS
0110001922018;1/4 DUCK
0110001922018;BEEF BBS
0110001922018;CHICKEN MIXED VEGETABLES
0110001922018; WITH CHICKEN
0110001922018;PRAWNS OYSTER SAUCE
0110001922018;SPECIAL MONTPARNASSE RICE
0110001922018;MINERAL WATER 1.5LT
0110001922018;MINERAL WATER 1.5LT
0110001922018;TOFFEE BANANA COMPLEMENTARY
0110001922018;COFFEE COMPLIMENTARY
0110001932018;SESAME PRAWNS
0110001932018;1/4 DUCK
0110001932018;CHICKEN CASHEW NUTS
0110001932018;SWEET SOUR CHICKEN
0110001932018;EGG FRIED RICE
0110001932018;NOODLES WITH MEAT
0110001932018; NO MEAT
0110001932018;GLASS WHITE WINE
0110001932018;APPLE JUICE
0110001932018;IMPORTED BEER 33CL
0110001932018;MINERAL WATER 1.5LT
0110001942018;NOODLES MUSHROOM SOUP
0110001942018;SALT PEPPER PRAWNS
0110001942018;SPRING ROLL
0110001942018;1/2 DUCK
0110001942018;PHILADELPHIA MAKI
0110001942018;DRAGON MAKI
0110001942018;VOLCANO MAKI
0110001942018;SPECIAL MONTPARNASSE RICE
0110001942018;SWEET SOUR CHICKEN
0110001942018;FRIED SHREDDED BEEF
0110001942018;NOODLES WITH MEAT
0110001942018; NO MEAT
0110001942018;MINERAL WATER 1.5LT
0110001942018;BIBLIA CHORA WHITE
0110001952018;SALMON MAKI
0110001952018;1/6 DUCK
0110001952018;SWEET SOUR CHICKEN
0110001952018;EGG FRIED RICE
0110001952018;MINERAL WATER 1.5LT
0110001952018;GLASS WHITE WINE
0110001952018;GLASS RED WINE
0110001962018;SESAME PRAWNS
0110001962018;1/6 DUCK
0110001962018;MIXED PLATTER SUSHI
0110001962018;STEAMED RICE
0110001962018;EGG FRIED RICE
0110001962018;SWEET SOUR CHICKEN
0110001962018;COKE ZERO
0110001962018;MINERAL WATER 1.5LT
0110001962018;GLASS WHITE WINE
0110001972018;SPRING ROLL
0110001972018;EGG FRIED RICE
0110001972018;SWEET SOUR CHICKEN
0110001972018;MALAI MANGO CHICK
0110001972018;MINERAL WATER 1.5LT
0110001972018;IMPORTED BEER 33CL
0110001982018;SESAME PRAWNS
0110001982018;FRIED SHREDDED BEEF
0110001982018;1/4 DUCK
0110001982018;CALIFORNIA MAKI
0110001982018;TEMPURA MAKI
0110001982018;SWEET SOUR CHICKEN
0110001982018;BEEF PEPPER SAUCE
0110001982018;SPECIAL MONTPARNASSE RICE
0110001982018;NOODLES WITH MEAT
0110001982018;MINERAL WATER 1.5LT
0110001982018;MINERAL WATER 1.5LT
0110001992018;SPRING ROLL
0110001992018;1/4 DUCK
0110001992018;SWEET SOUR CHICKEN
0110001992018;BABY PORK
0110001992018;SPECIAL MONTPARNASSE RICE
0110001992018;MINERAL WATER 1.5LT
0110001992018;PETRITIS KYPEROUNDA
0110002002018;HOT AND SOUR SOUP
0110002002018;CALIFORNIA MAKI
0110002002018;DRAGON MAKI
0110002002018;VOLCANO MAKI
0110002002018;SALT PEPPER SQUID
0110002002018;SESAME PRAWNS
0110002002018;1/2 DUCK
0110002002018;BEEF BBS
0110002002018;MIX VEG
0110002002018;NOODLES WITH MEAT
0110002002018; NO MEAT
0110002002018;PRAWNS OYSTER SAUCE
0110002002018;STEAMED RICE
0110002002018;EGG FRIED RICE
0110002002018;BABY PORK
0110002002018;CHATEAU LAZARIDI WHITE
0110002002018;PAPAIOANNOU AGIORGITIKO RED
0110002002018;COKE
0110002002018;COKE ZERO
0110002002018;TOFFEE BANANA COMPLEMENTARY
0110002002018;TOFFEE APPLE COMPLEMENTARY
0110002002018;LYCHEES COMPLIMENTARY
0110002012018;SWEETCORN SOUP
0110002012018; WITH CHICKEN
0110002012018;SPRING ROLL
0110002012018;1/4 DUCK
0110002012018;CHICKEN CASHEW NUTS
0110002012018;PORK OYSTER SAUCE
0110002012018;STEAMED RICE
0110002012018;NOODLES WITH MEAT
0110002012018;PERRIER
0110002012018;MINERAL WATER 1.5LT
0110002012018;SPRITE
0110002022018;1/4 DUCK
0110002022018;SESAME PRAWNS
0110002022018;SWEET SOUR CHICKEN
0110002022018;SWEET SOUR PORK
0110002022018;LEMON CHICKEN
0110002022018;EGG FRIED RICE
0110002022018;MINERAL WATER 1.5LT
0110002022018;GLASS WHITE WINE
0110002022018;GLASS WINE ROSE
0110002032018;HOT AND SOUR SOUP
0110002032018;NOODLES MUSHROOM SOUP
0110002032018;SPRING ROLL
0110002032018;SESAME PRAWNS
0110002032018;1/2 DUCK
0110002032018;SWEET SOUR PORK
0110002032018;BEEF BBS
0110002032018;PRAWNS WITH GINGER
0110002032018;BEEF OYSTER SAUCE
0110002032018;NOODLES WITH MEAT
0110002032018;SPECIAL MONTPARNASSE RICE
0110002032018;LEMON CHICKEN
0110002032018;MINERAL WATER 1.5LT
0110002032018;BIBLIA CHORA RED
0110002032018;MINERAL WATER 1.5LT
0110002032018;COKE ZERO
0110002032018;MINERAL WATER 1.5LT
0110002032018;TOFFEE BANANA COMPLEMENTARY
0110002042018;SPRING ROLL
0110002042018;1/4 DUCK
0110002042018;SALT PEPPER SQUID
0110002042018;FORTUNE PORK
0110002042018;BEEF OYSTER SAUCE
0110002042018;NOODLES WITH MEAT
0110002042018; NO MEAT
0110002042018;EGG FRIED RICE
0110002042018;STEAMED RICE
0110002042018;CHICKEN CASHEW NUTS
0110002042018;HADJIMICHALI LEFKOS
0110002042018;MINERAL WATER 1.5LT
0110002042018;KTHMA GEROVASSILIOU WHITE
0110002042018;TOFFEE BANANA COMPLEMENTARY
0120000212018;MINERAL WATER 1.5LT
0120000212018;SPRING ROLL
0120000212018;LEMON CHICKEN
0120000212018;SWEET SOUR CHICKEN
0120000212018;NOODLES WITH MEAT
0120000212018; NO MEAT
0120000212018;EGG FRIED RICE
0120000222018;SPRING ROLL
0120000222018;MIXED PLATTER SUSHI
0120000222018;SWEET SOUR CHICKEN
0120000222018;TIN JIAN STYLE CHICKEN
0120000222018;EGG FRIED RICE
0120000222018;MINERAL WATER 1.5LT
0120000232018;TEMPURA MAKI
0120000232018;SWEET SOUR CHICKEN
0120000232018;BEEF OYSTER SAUCE
0120000232018;EGG FRIED RICE
0120000232018;GLASS WHITE WINE
0120000232018;GLASS RED WINE
0120000232018;MINERAL WATER 1.5LT
0120000242018;SESAME PRAWNS
0120000242018;1/2 DUCK
0120000242018;SWEET SOUR CHICKEN
0120000242018;BABY PORK
0120000242018;EGG FRIED RICE
0120000242018;NOODLES BEAN SPROUTS
0120000242018;7UP
0120000242018;7UP
0120000242018;MINERAL WATER 1.5LT
0120000242018;PERSEFONI KOLIOS WHITE
0120000252018;SPRING ROLL
0120000252018;SALT PEPPER SQUID
0120000252018;EGG FRIED RICE
0120000252018;SWEET SOUR CHICKEN
0120000252018;LEMON CHICKEN
0120000252018;BEEF OYSTER SAUCE
0120000252018;MALAI MANGO CHICK
0120000252018;CHICK KORMA KASHMIRI
0120000252018;NAAN
0120000252018;JIRA PULAO
0120000252018;MINERAL WATER 1.5LT
0120000252018;COKE ZERO
0120000252018;7UP
0120000252018;GLASS WINE ROSE
0120000252018;NAAN
0120000252018;COKE ZERO
0120000252018;TOFFEE BANANA COMPLEMENTARY
0120000262018;PRAWN PURI
0120000262018;CHICK TIKKA BHUNA
0120000262018;CHICKEN VINDALOO
0120000262018;JIRA PULAO
0120000262018;NAAN
0120000262018;MINERAL WATER 1.5LT
0120000262018;LEVANDA ROSE
0120000272018;TEMPURA MAKI
0120000272018;SPRING ROLL
0120000272018;1/4 DUCK
0120000272018;CHICKEN CASHEW NUTS
0120000272018;CHICKEN MIXED VEGETABLES
0120000272018; WITH BEEF
0120000272018;SWEET SOUR PRAWNS
0120000272018;EGG FRIED RICE
0120000272018;MINERAL WATER 1.5LT
0120000282018;SPRING ROLL
0120000282018;1/4 DUCK
0120000282018;TIN JIAN STYLE CHICKEN
0120000282018;BEEF BBS
0120000282018;PORK WITH GINGER
0120000282018;SWEET SOUR PRAWNS
0120000282018;EGG FRIED RICE
0120000282018;DIET SPRITE
0120000282018;MINERAL WATER 1.5LT
0120000282018;SAKE 12CL
0120000282018;GLASS RED WINE
0120000282018;KEO
0120000282018;MINERAL WATER 1.5LT
0120000292018;SPRING ROLL
0120000292018;1/4 DUCK
0120000292018;SWEET SOUR CHICKEN
0120000292018;BABY PORK
0120000292018;EGG FRIED RICE
0120000292018;NOODLES BEAN SPROUTS
0120000292018;MINERAL WATER 1.5LT
0120000292018;FANTA
0120000292018;SPRITE
0120000292018;GLASS WHITE WINE
0120000302018;SWEETCORN SOUP
0120000302018; WITH SHRIMP
0120000302018;1/2 DUCK
0120000302018;SPRING ROLL
0120000302018;SESAME PRAWNS
0120000302018;FRIED SHREDDED BEEF
0120000302018;BABY PORK
0120000302018;BEEF BBS
0120000302018;SZECHUAN PRAWNS
0120000302018;LEMON CHICKEN
0120000302018;EGG FRIED RICE
0120000302018;STEAMED RICE
0120000302018;COKE ZERO
0120000302018;BOUTARI MOSCHOFILERO WHITE
0120000302018;TOFFEE BANANA COMPLEMENTARY
0120000302018;TOFFEE APPLE COMPLEMENTARY
0110002052018;1/4 DUCK
0110002052018;SPRING ROLL
0110002052018;SALT PEPPER SQUID
0110002052018;SWEET SOUR CHICKEN
0110002052018;CHICKEN OYSTER SAUCE
0110002052018;EGG FRIED RICE
0110002052018;MINERAL WATER 1.5LT
0110002052018;COKE ZERO
0110002052018;TOFFEE BANANA COMPLEMENTARY
0110002062018;TANDOORI TRILOGY
0110002062018;1/6 DUCK
0110002062018;CHICK TIKKA BHUNA
0110002062018;PALAK PANEER
0110002062018;NAAN
0110002062018;JIRA PULAO
0110002062018;TEMPURA MAKI
0110002062018;VOLCANO MAKI
0110002062018;SPICY SALMON MAKI
0110002062018;CROUCHING TIGER
0110002062018;CHATEAU LAZARIDI WHITE
0110002062018;MINERAL WATER 1.5LT
0110002072018;CHICKEN CASHEW NUTS
0110002072018;BABY PORK
0110002072018;SWEET SOUR PORK
0110002072018;BEEF PEPPER SAUCE
0110002072018;EGG FRIED RICE
0110002072018;MINERAL WATER 1.5LT
0110002072018;CARLSBERG 33CL
0110002072018;DIET COKE
0110002072018;MINERAL WATER 1.5LT
0110002072018;FOOD
0110002082018;CHICKEN SATAY
0110002082018;FRIED SHREDDED BEEF
0110002082018;1/6 DUCK
0110002082018;LAMB ROGAN JOSH
0110002082018;CHICK KORMA KASHMIRI
0110002082018;JIRA PULAO
0110002082018;NAAN
0110002082018;MINERAL WATER 1.5LT
0110002082018;COKE ZERO
0110002082018;COKE ZERO
0110002092018;SPRING ROLL
0110002092018;1/4 DUCK
0110002092018;SWEET SOUR PORK
0110002092018;CHICKEN CASHEW NUTS
0110002092018;EGG FRIED RICE
0110002092018;FANTA
0110002092018;COKE ZERO
0110002092018;MINERAL WATER 1.5LT
0110002102018;1/4 DUCK
0110002102018;EGG FRIED RICE
0110002102018;FRIED SHREDDED BEEF
0110002102018;MINERAL WATER 1.5LT
0110002102018;CROUCHING TIGER
0110002112018;SPRING ROLL
0110002112018;SWEET SOUR CHICKEN
0110002112018;PORK WITH GINGER
0110002112018;FOOD
0110002112018;FOOD
0110002112018;MINERAL WATER 1.5LT
0110002112018;GLASS WHITE WINE
0110002122018;NOODLES MUSHROOM SOUP
0110002122018;1/6 DUCK
0110002122018;EGG FRIED RICE
0110002122018;CAULIFLOWER GUNCHAO
0110002122018;PALAK PANEER
0110002122018;NAAN
0110002122018;MINERAL WATER 1.5LT
0110002122018;JASMINE TEA
0110002122018;KEO
0110002132018;TANDOORI CHICK WHOLE
0110002132018;ONION BADJI
0110002132018;CHICK TIKKA MASALA
0110002132018;BUTTER CHICKEN
0110002132018;JIRA PULAO
0110002132018;NAAN
0110002132018;MINERAL WATER 1.5LT
0110002132018;PETRITIS KYPEROUNDA
0110002142018;CHICK TIKKA MASALA
0110002142018;CHICKEN VINDALOO
0110002142018;ALOO PALAK
0110002142018;JIRA PULAO
0110002142018;NAAN
0110002142018;PETRITIS KYPEROUNDA
0110002142018;MINERAL WATER 1.5LT
0110002142018;PETRITIS KYPEROUNDA
0110002152018;MINERAL WATER 1.5LT
0110002152018;1/2 DUCK
0110002152018;SESAME PRAWNS
0110002152018;EGG FRIED RICE
0110002152018;NOODLES WITH MEAT
0110002152018; NO MEAT
0110002152018;BEEF BBS
0110002152018;FRIED SHREDDED BEEF
0110002152018;DIET SPRITE
0110002152018;SWEET SOUR CHICKEN
0110002152018;MINERAL WATER 1.5LT
0110002152018;MINERAL WATER 1.5LT
0110002152018;TOFFEE BANANA COMPLEMENTARY
0110002162018;SWEETCORN SOUP
0110002162018; WITH SHRIMP
0110002162018;SPRING ROLL
0110002162018;SALT PEPPER PRAWNS
0110002162018;1/6 DUCK
0110002162018;SWEET SOUR PRAWNS
0110002162018;BEEF PEPPER SAUCE
0110002162018;SHRIMP FRIED RICE
0110002162018;DIET COKE
0110002162018;MINERAL WATER 1.5LT
0110002162018;AG. ANDRONIKOS 37.5CL WHITE
0110002162018;MINERAL WATER 1.5LT
0110002172018;SALT PEPPER PRAWNS
0110002172018;1/4 DUCK
0110002172018;SWEET SOUR PORK
0110002172018;PRAWNS OYSTER SAUCE
0110002172018;BEEF BBS
0110002172018;MIX VEG OYSTER
0110002172018;EGG FRIED RICE
0110002172018;CHICK TIKKA MASALA
0110002172018;MINERAL WATER 1.5LT
0110002172018;PETRITIS KYPEROUNDA
0110002172018;GLASS RED WINE
0110002172018;LYCHEES COMPLIMENTARY
0110002182018;SPRING ROLL
0110002182018;SESAME PRAWNS
0110002182018;NOODLES WITH MEAT
0110002182018; NO MEAT
0110002182018;EGG FRIED RICE
0110002182018;SWEET SOUR PORK
0110002182018;LEMON CHICKEN
0110002182018;BEEF BBS
0110002182018;MINERAL WATER 1.5LT
0110002182018;COKE ZERO
0110002182018;GLASS WHITE WINE
0110002182018;GLASS RED WINE
0110002182018;GLASS WINE ROSE
0110002182018;TOFFEE BANANA COMPLEMENTARY
0110002192018;WHOLE DUCK
0110002192018;FRIED SHREDDED BEEF
0110002192018;SWEET SOUR CHICKEN
0110002192018;LEMON CHICKEN
0110002192018;CURRY
0110002192018; WITH CHICKEN
0110002192018;BEEF BBS
0110002192018;STEAMED RICE
0110002192018;EGG FRIED RICE
0110002192018;MINERAL WATER 1.5LT
0110002192018;COKE ZERO
0110002192018;DIET SPRITE
0110002192018;CHINESE BEER 33CL
0110002192018;COKE ZERO
0110002192018;FRIED SHREDDED BEEF
0110002192018;COKE ZERO
0110002192018;KEO
0110002192018;CARLSBERG 33CL
0110002192018;TOFFEE BANANA COMPLEMENTARY
0110002202018;SPRING ROLL
0110002202018;SESAME PRAWNS
0110002202018;CHICKEN SATAY
0110002202018;1/2 DUCK
0110002202018;SWEET SOUR CHICKEN
0110002202018;BABY PORK
0110002202018;NOODLES WITH MEAT
0110002202018;SPECIAL MONTPARNASSE RICE
0110002202018;MINERAL WATER 1.5LT
0110002202018;VASSILIKON XYNISTERI
0110002202018;SODA
0110002202018;SODA
0110002202018;COKE ZERO
0110002202018;TOFFEE BANANA COMPLEMENTARY
0110002212018;SPRING ROLL
0110002212018;MIXED PLATTER SUSHI
0110002212018;BEEF BBS
0110002212018;LEMON CHICKEN
0110002212018;CHICKEN WITH GINGER
0110002212018;BABY PORK
0110002212018;EGG FRIED RICE
0110002212018;CARLSBERG 33CL
0110002212018;MINERAL WATER 1.5LT
0110002212018;COKE
0110002212018;TOFFEE BANANA COMPLEMENTARY
0110002222018;SPRING ROLL
0110002222018;SALT PEPPER SQUID
0110002222018;MIXED PLATTER SUSHI
0110002222018;TIN JIAN STYLE CHICKEN
0110002222018;BABY PORK
0110002222018;BEEF BBS
0110002222018;NOODLES WITH MEAT
0110002222018; NO MEAT
0110002222018;STEAMED RICE
0110002222018;EGG FRIED RICE
0110002222018;CHICK TIKKA BHUNA
0110002222018;MINERAL WATER 1.5LT
0110002222018;AYIOS ANDRONIKOS XYNISTERI
0110002222018;AYIOS ANDRONIKOS XYNISTERI
0110002222018;TOFFEE BANANA COMPLEMENTARY
0110002232018;SPRING ROLL
0110002232018;SALT PEPPER SQUID
0110002232018;SESAME PRAWNS
0110002232018;1/4 DUCK
0110002232018;SWEET SOUR CHICKEN
0110002232018;BEEF BBS
0110002232018;FORTUNE PORK
0110002232018;PRAWNS OYSTER SAUCE
0110002232018;SPECIAL MONTPARNASSE RICE
0110002232018;STEAMED RICE
0110002232018;MALAGOUZIA BOUTARI
0110002232018;COKE ZERO
0110002232018;MINERAL WATER 1.5LT
0110002232018;MINERAL WATER 1.5LT
0110002232018;MINERAL WATER 1.5LT
0110002232018;PERRIER
0110002232018;TOFFEE BANANA COMPLEMENTARY
0110002232018;COFFEE COMPLIMENTARY
0110002242018;CHICKEN TIKKA
0110002242018;SPRING ROLL
0110002242018;FRIED SHREDDED BEEF
0110002242018;1/2 DUCK
0110002242018;BEEF BBS
0110002242018;SWEET SOUR CHICKEN
0110002242018;BABY PORK
0110002242018;NOODLES BEAN SPROUTS
0110002242018;EGG FRIED RICE
0110002242018;IMPORTED BEER 33CL
0110002242018;DIET SPRITE
0110002242018;KEO
0110002242018;DIET COKE
0110002242018;MINERAL WATER 1.5LT
0110002242018;MINERAL WATER 1.5LT
0110002242018;TOFFEE BANANA COMPLEMENTARY
0110002242018;LYCHEES COMPLIMENTARY
0110002252018;1/4 DUCK
0110002252018;PRAWNS OYSTER SAUCE
0110002252018;FRIED SHREDDED BEEF
0110002252018;SWEET SOUR CHICKEN
0110002252018;CHICKEN CASHEW NUTS
0110002252018;EGG FRIED RICE
0110002252018;MINERAL WATER 1.5LT
0110002252018;SPRITE
0110002252018;MALAGOUZIA BOUTARI
0110002252018;TOFFEE BANANA COMPLEMENTARY
0110002262018;AVOCADO MAKI
0110002262018;CUCUMBER MAKI
0110002262018;SALMON MAKI
0110002262018;SPICY SALMON MAKI
0110002262018;SALMON SASHIMI
0110002262018;CALIFORNIA MAKI
0110002262018;TEMPURA MAKI
0110002262018;BUTTER CHICKEN
0110002262018;STEAMED RICE IND
0110002262018;NAAN
0110002262018;PANEER MAKHNI
0110002262018;NAAN
0110002262018;IMPORTED BEER 33CL
0110002262018;CARLSBERG 33CL
0110002262018;MINERAL WATER 1.5LT
0110002262018;COKE ZERO
0110002262018;MINT RAITA
0110002262018;PHILADELPHIA MAKI
0110002262018;CARLSBERG 33CL
0110002262018;TOFFEE BANANA COMPLEMENTARY
0110002272018;NOODLES MUSHROOM SOUP
0110002272018;HOT AND SOUR SOUP
0110002272018;SPRING ROLL
0110002272018;SALT PEPPER SQUID
0110002272018;CHICKEN SATAY
0110002272018;1/4 DUCK
0110002272018;FRIED SHREDDED BEEF
0110002272018;EGG FRIED RICE
0110002272018;VEG RICE
0110002272018;SWEET SOUR PORK
0110002272018;BEEF BBS
0110002272018;BABY PORK
0110002272018;MINERAL WATER 1.5LT
0110002272018;MINERAL WATER 1.5LT
0110002272018;PETRITIS KYPEROUNDA
0110002272018;COKE
0110002282018;MIXED PLATTER SUSHI
0110002282018;1/4 DUCK
0110002282018;SWEET SOUR CHICKEN
0110002282018;EGG FRIED RICE
0110002282018;AYIOKILIMA WHITE
0110002292018;1/2 DUCK
0110002292018;BEEF BBS
0110002292018;SWEET SOUR PORK
0110002292018;CHICKEN OYSTER SAUCE
0110002292018;PRAWNS MIXED VEG
0110002292018;FRIED SHREDDED BEEF
0110002292018;EGG FRIED RICE
0110002292018;MINERAL WATER 1.5LT
0110002292018;KEO
0110002292018;CARLSBERG 33CL
0110002292018;CARLSBERG 33CL
0110002292018;CARLSBERG 33CL
0110002292018;CARLSBERG 33CL
0110002292018;CARLSBERG 33CL
0110002292018;MINERAL WATER 1.5LT
0110002292018;CARLSBERG 33CL
0110002292018;EGG FRIED RICE
0110002292018;TOFFEE BANANA COMPLEMENTARY
0110002302018;1/6 DUCK
0110002302018;BEEF OYSTER SAUCE
